type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
ids_preference,-0.7715730388514143,-0.7691390545017253,-5.976579059708351,0.0179069269880883,0.0178991143440829,-1.0338490816573054,-0.5092969960455231,-1.0313578766325748,-0.5069202323708757,9.908146930562504e-09,run1,apc,baseline,913.5,913.5,228375,english,10.5,significant
ids_preference,-0.7186567279566841,-0.7163896720325306,-5.566691078032304,0.0177426406096612,0.0177358628379059,-0.979726878055061,-0.4575865778583072,-0.9774099523582078,-0.4553693917068533,7.698110690626254e-08,run3,apc,baseline,913.5,913.5,228375,english,10.5,significant
ids_preference,-0.5880915902203332,-0.586236411702288,-4.555337869935974,0.017387191080183,0.0173826523550116,-0.8465334183791348,-0.3296497620615316,-0.8446445060341392,-0.3278283173704369,8.583765283547257e-06,run2,apc,baseline,913.5,913.5,228375,english,10.5,significant
ids_preference,-0.5395591102588743,-0.5378570310467011,-4.179406896654223,0.0172731750697153,0.0172693545538466,-0.7971521822405402,-0.2819660382772083,-0.7954216139741066,-0.2802924481192957,4.416126401551175e-05,run1,apc,baseline,1044.0,1044.0,261000,english,12.0,significant
ids_preference,-0.6833555905493531,-0.6811998946801123,-5.293249643470759,0.0176395309648647,0.017633402701067,-0.9436660433127538,-0.4230451377859524,-0.9414651254445496,-0.4209346639156751,2.9745978745947465e-07,run3,apc,baseline,1044.0,1044.0,261000,english,12.0,significant
ids_preference,-0.5313562312489893,-0.5296800286267528,-4.115867669061745,0.0172548738426815,0.0172511686098459,-0.7888128049132352,-0.2738996575847435,-0.7871089582822486,-0.272251098971257,5.352248373762049e-05,run2,apc,baseline,1044.0,1044.0,261000,english,12.0,significant
ids_preference,-0.5798222649888195,-0.5779931726702427,-4.491283952123924,0.0173670705395349,0.0173626585576112,-0.8381145148023079,-0.3215300151753311,-0.8362526117365355,-0.3197337336039499,1.1383167839464789e-05,run1,apc,baseline,1566.0,1566.0,391501,english,18.0,significant
ids_preference,-0.5789115250609007,-0.577085305738942,-4.484229390976812,0.017364871987184,0.0173604738543746,-0.8371874253407999,-0.3206356247810015,-0.8353284961996337,-0.3188421152782504,1.2169053368224912e-05,run3,apc,baseline,1566.0,1566.0,391501,english,18.0,significant
ids_preference,-0.4599386234712707,-0.4584877129871342,-3.5626692579635897,0.0171073823695013,0.0171046062145003,-0.716292490035261,-0.2035847569072804,-0.714820778386805,-0.2021546475874633,0.0004572505557404,run2,apc,baseline,1566.0,1566.0,391501,english,18.0,significant
ids_preference,0.2760727661218208,0.2752018741151273,2.1384504510624547,0.0168254503587378,0.0168244501489926,0.0218400485327494,0.5303054837108923,0.0209767132278216,0.529427035002433,0.0336499148862553,run1,cpc,full_term,0.0,223.9,55976,english,0.0,significant
